log_counter,timestamp,y_true,y_pred,accuracy,cumulative_accuracy,global_accuracy,accuracy_last_25_predictions,filename,model_version,model_tag,model_alias
1,2025-03-31 19:32:49,1,1.0,1,1,1,1,123.jpeg,1,transferlearning,challenger
2,2025-03-31 19:32:56,1,0.9998882412910461,1,2.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
3,2025-03-31 19:33:02,1,0.9999993443489075,1,3.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
4,2025-03-31 19:33:08,1,0.9978950023651123,1,4.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
5,2025-03-31 19:33:15,0,0.03779362142086029,1,5.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
6,2025-03-31 19:33:22,1,0.9999159574508667,1,6.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
7,2025-03-31 19:33:28,1,0.999997079372406,1,7.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
8,2025-03-31 19:33:35,1,0.999893069267273,1,8.0,1.0,1.0,123.jpeg,1,transferlearning,challenger
9,2025-03-31 19:33:42,0,0.9015645980834961,0,8.0,0.8888888888888888,0.8888888888888888,123.jpeg,1,transferlearning,challenger
10,2025-03-31 19:33:50,1,0.9810065031051636,1,9.0,0.9,0.9,123.jpeg,1,transferlearning,challenger
11,2025-03-31 19:33:56,1,0.9949507117271423,1,10.0,0.9090909090909091,0.9090909090909091,123.jpeg,1,transferlearning,challenger
12,2025-03-31 19:34:03,1,0.9999980926513672,1,11.0,0.9166666666666666,0.9166666666666666,123.jpeg,1,transferlearning,challenger
13,2025-03-31 19:34:09,1,0.2777455747127533,0,11.0,0.8461538461538461,0.8461538461538461,123.jpeg,1,transferlearning,challenger
14,2025-03-31 19:34:15,1,0.9993753433227539,1,12.0,0.8571428571428571,0.8571428571428571,123.jpeg,1,transferlearning,challenger
15,2025-03-31 19:34:22,0,0.454812616109848,1,13.0,0.8666666666666667,0.8666666666666667,123.jpeg,1,transferlearning,challenger
16,2025-03-31 19:34:29,0,0.9990342855453491,0,13.0,0.8125,0.8125,123.jpeg,1,transferlearning,challenger
17,2025-03-31 19:34:36,0,0.9918975234031677,0,13.0,0.7647058823529411,0.7647058823529411,123.jpeg,1,transferlearning,challenger
18,2025-03-31 19:34:43,0,0.5962944030761719,0,13.0,0.7222222222222222,0.7222222222222222,123.jpeg,1,transferlearning,challenger
19,2025-03-31 19:34:50,0,0.28323057293891907,1,14.0,0.7368421052631579,0.7368421052631579,123.jpeg,1,transferlearning,challenger
20,2025-03-31 19:34:58,0,0.8190919160842896,0,14.0,0.7,0.7,123.jpeg,1,transferlearning,challenger
21,2025-03-31 19:35:05,1,0.9999933242797852,1,15.0,0.7142857142857143,0.7142857142857143,123.jpeg,1,transferlearning,challenger
22,2025-03-31 19:35:12,0,0.5113551020622253,0,15.0,0.6818181818181818,0.6818181818181818,123.jpeg,1,transferlearning,challenger
23,2025-03-31 19:35:20,1,0.9999895691871643,1,16.0,0.6956521739130435,0.6956521739130435,123.jpeg,1,transferlearning,challenger
24,2025-03-31 19:35:28,1,0.9965143203735352,1,17.0,0.7083333333333334,0.7083333333333334,123.jpeg,1,transferlearning,challenger
25,2025-03-31 19:35:34,0,0.32368263602256775,1,18.0,0.72,0.72,123.jpeg,1,transferlearning,challenger
26,2025-03-31 19:35:40,0,0.9832764267921448,0,18.0,0.6923076923076923,0.68,123.jpeg,1,transferlearning,challenger
27,2025-03-31 19:35:48,0,0.9904959797859192,0,18.0,0.6666666666666666,0.64,123.jpeg,1,transferlearning,challenger
28,2025-03-31 19:35:54,1,0.7288886308670044,1,19.0,0.6785714285714286,0.64,123.jpeg,1,transferlearning,challenger
29,2025-03-31 19:36:00,1,0.9884834289550781,1,20.0,0.6896551724137931,0.64,123.jpeg,1,transferlearning,challenger
30,2025-03-31 19:36:06,1,0.9870059490203857,1,21.0,0.7,0.64,123.jpeg,1,transferlearning,challenger
31,2025-03-31 19:36:12,0,0.16884171962738037,1,22.0,0.7096774193548387,0.64,123.jpeg,1,transferlearning,challenger
32,2025-03-31 19:36:18,0,0.12192876636981964,1,23.0,0.71875,0.64,123.jpeg,1,transferlearning,challenger
33,2025-03-31 19:36:25,0,0.9911911487579346,0,23.0,0.696969696969697,0.6,123.jpeg,1,transferlearning,challenger
34,2025-03-31 19:36:31,0,0.09110022336244583,1,24.0,0.7058823529411765,0.64,123.jpeg,1,transferlearning,challenger
35,2025-03-31 19:36:39,1,0.9999979138374329,1,25.0,0.7142857142857143,0.64,123.jpeg,1,transferlearning,challenger
36,2025-03-31 19:36:47,1,0.9995900392532349,1,26.0,0.7222222222222222,0.64,123.jpeg,1,transferlearning,challenger
37,2025-03-31 19:36:54,0,0.9996265769004822,0,26.0,0.7027027027027027,0.6,123.jpeg,1,transferlearning,challenger
38,2025-03-31 19:37:00,0,0.5724395513534546,0,26.0,0.6842105263157895,0.6,123.jpeg,1,transferlearning,challenger
39,2025-03-31 19:37:07,0,0.626940131187439,0,26.0,0.6666666666666666,0.56,123.jpeg,1,transferlearning,challenger
40,2025-03-31 19:37:13,0,0.9635443687438965,0,26.0,0.65,0.52,123.jpeg,1,transferlearning,challenger
41,2025-03-31 19:37:19,1,1.0,1,27.0,0.6585365853658537,0.56,123.jpeg,1,transferlearning,challenger
42,2025-03-31 19:37:26,1,0.9891078472137451,1,28.0,0.6666666666666666,0.6,123.jpeg,1,transferlearning,challenger
43,2025-03-31 19:37:32,1,0.9999997615814209,1,29.0,0.6744186046511628,0.64,123.jpeg,1,transferlearning,challenger
44,2025-03-31 19:37:38,0,0.5271399021148682,0,29.0,0.6590909090909091,0.6,123.jpeg,1,transferlearning,challenger
45,2025-03-31 19:37:45,0,0.9015645980834961,0,29.0,0.6444444444444445,0.6,123.jpeg,1,transferlearning,challenger
46,2025-03-31 19:37:52,0,0.6096898317337036,0,29.0,0.6304347826086957,0.56,123.jpeg,1,transferlearning,challenger
47,2025-03-31 19:38:00,0,0.39464759826660156,1,30.0,0.6382978723404256,0.6,123.jpeg,1,transferlearning,challenger
48,2025-03-31 19:38:08,0,0.3811112940311432,1,31.0,0.6458333333333334,0.6,123.jpeg,1,transferlearning,challenger
49,2025-03-31 19:38:16,1,0.999922513961792,1,32.0,0.6530612244897959,0.6,123.jpeg,1,transferlearning,challenger
50,2025-03-31 19:38:24,1,0.9999987483024597,1,33.0,0.66,0.6,123.jpeg,1,transferlearning,challenger
51,2025-03-31 19:38:32,0,0.9704386591911316,0,33.0,0.6470588235294118,0.6,123.jpeg,1,transferlearning,challenger
52,2025-03-31 19:38:39,1,0.999996542930603,1,34.0,0.6538461538461539,0.64,123.jpeg,1,transferlearning,challenger
53,2025-03-31 19:38:48,0,0.9996493458747864,0,34.0,0.6415094339622641,0.6,123.jpeg,1,transferlearning,challenger
54,2025-03-31 19:38:55,0,0.9245595335960388,0,34.0,0.6296296296296297,0.56,123.jpeg,1,transferlearning,challenger
55,2025-03-31 19:39:04,1,0.9969603419303894,1,35.0,0.6363636363636364,0.56,123.jpeg,1,transferlearning,challenger
56,2025-03-31 19:39:12,0,0.0032653671223670244,1,36.0,0.6428571428571429,0.56,123.jpeg,1,transferlearning,challenger
57,2025-03-31 19:39:20,0,0.08396978676319122,1,37.0,0.6491228070175439,0.56,123.jpeg,1,transferlearning,challenger
58,2025-03-31 19:39:28,1,0.9942728877067566,1,38.0,0.6551724137931034,0.6,123.jpeg,1,transferlearning,challenger
59,2025-03-31 19:39:35,0,0.3128065764904022,1,39.0,0.6610169491525424,0.6,123.jpeg,1,transferlearning,challenger
60,2025-03-31 19:39:43,1,0.9904165863990784,1,40.0,0.6666666666666666,0.6,123.jpeg,1,transferlearning,challenger
61,2025-03-31 19:39:51,0,0.9883161187171936,0,40.0,0.6557377049180327,0.56,123.jpeg,1,transferlearning,challenger
62,2025-03-31 19:39:59,1,0.9999992251396179,1,41.0,0.6612903225806451,0.6,123.jpeg,1,transferlearning,challenger
63,2025-03-31 19:40:08,1,0.999939501285553,1,42.0,0.6666666666666666,0.64,123.jpeg,1,transferlearning,challenger
64,2025-03-31 19:40:14,0,0.9695544242858887,0,42.0,0.65625,0.64,123.jpeg,1,transferlearning,challenger
65,2025-03-31 19:40:21,1,0.9999890327453613,1,43.0,0.6615384615384615,0.68,123.jpeg,1,transferlearning,challenger
66,2025-03-31 19:40:27,0,0.22593775391578674,1,44.0,0.6666666666666666,0.68,123.jpeg,1,transferlearning,challenger
67,2025-03-31 19:40:33,1,0.9998825788497925,1,45.0,0.6716417910447762,0.68,123.jpeg,1,transferlearning,challenger
68,2025-03-31 19:40:40,1,0.9995813369750977,1,46.0,0.6764705882352942,0.68,123.jpeg,1,transferlearning,challenger
69,2025-03-31 19:40:46,0,0.9986437559127808,0,46.0,0.6666666666666666,0.68,123.jpeg,1,transferlearning,challenger
70,2025-03-31 19:40:52,1,0.9998965859413147,1,47.0,0.6714285714285714,0.72,123.jpeg,1,transferlearning,challenger
71,2025-03-31 19:40:59,0,0.9743337035179138,0,47.0,0.6619718309859155,0.72,123.jpeg,1,transferlearning,challenger
72,2025-03-31 19:41:06,1,0.7894683480262756,1,48.0,0.6666666666666666,0.72,123.jpeg,1,transferlearning,challenger
73,2025-03-31 19:41:13,1,0.9918176531791687,1,49.0,0.6712328767123288,0.72,123.jpeg,1,transferlearning,challenger
74,2025-03-31 19:41:19,0,0.7119079828262329,0,49.0,0.6621621621621622,0.68,123.jpeg,1,transferlearning,challenger
75,2025-03-31 19:41:26,1,0.9963818192481995,1,50.0,0.6666666666666666,0.68,123.jpeg,1,transferlearning,challenger
76,2025-03-31 19:41:32,1,0.38113510608673096,0,50.0,0.6578947368421053,0.68,123.jpeg,1,transferlearning,challenger
77,2025-03-31 19:41:38,1,0.9999934434890747,1,51.0,0.6623376623376623,0.68,123.jpeg,1,transferlearning,challenger
78,2025-03-31 19:41:45,0,0.6957381963729858,0,51.0,0.6538461538461539,0.68,123.jpeg,1,transferlearning,challenger
79,2025-03-31 19:41:51,1,0.9999738335609436,1,52.0,0.6582278481012658,0.72,123.jpeg,1,transferlearning,challenger
80,2025-03-31 19:41:57,0,0.1931719183921814,1,53.0,0.6625,0.72,123.jpeg,1,transferlearning,challenger
81,2025-03-31 19:42:04,0,0.009401640854775906,1,54.0,0.6666666666666666,0.72,123.jpeg,1,transferlearning,challenger
82,2025-03-31 19:42:10,1,0.9997749328613281,1,55.0,0.6707317073170732,0.72,123.jpeg,1,transferlearning,challenger
83,2025-03-31 19:42:17,1,0.7176659107208252,1,56.0,0.6746987951807228,0.72,123.jpeg,1,transferlearning,challenger
84,2025-03-31 19:42:24,0,0.15783701837062836,1,57.0,0.6785714285714286,0.72,123.jpeg,1,transferlearning,challenger
85,2025-03-31 19:42:30,1,0.9998247027397156,1,58.0,0.6823529411764706,0.72,123.jpeg,1,transferlearning,challenger
86,2025-03-31 19:42:37,0,0.23833955824375153,1,59.0,0.686046511627907,0.76,123.jpeg,1,transferlearning,challenger
87,2025-03-31 19:42:43,0,0.13167288899421692,1,60.0,0.6896551724137931,0.76,123.jpeg,1,transferlearning,challenger
88,2025-03-31 19:42:50,0,0.032487332820892334,1,61.0,0.6931818181818182,0.76,123.jpeg,1,transferlearning,challenger
89,2025-03-31 19:42:56,1,0.9995326399803162,1,62.0,0.6966292134831461,0.8,123.jpeg,1,transferlearning,challenger
90,2025-03-31 19:43:02,1,0.9999456405639648,1,63.0,0.7,0.8,123.jpeg,1,transferlearning,challenger
91,2025-03-31 19:43:09,0,0.4309702217578888,1,64.0,0.7032967032967034,0.8,123.jpeg,1,transferlearning,challenger
92,2025-03-31 19:43:16,1,0.9991878867149353,1,65.0,0.7065217391304348,0.8,123.jpeg,1,transferlearning,challenger
